match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
26-27-prem-afc-bournemouth-vs-fulham,,,,,,False,False,,,
26-27-prem-aston-villa-vs-ipswich-town,,,,,,False,False,,,
26-27-prem-brentford-vs-manchester-united,,,,,,False,False,,,
26-27-prem-chelsea-vs-nottingham-forest,,,,,,False,False,,,
26-27-prem-coventry-city-vs-leeds-united,,,,,,False,False,,,
26-27-prem-hull-city-vs-crystal-palace,,,,,,False,False,,,
26-27-prem-liverpool-vs-everton,,,,,,False,False,,,
26-27-prem-manchester-city-vs-arsenal,,,,,,False,False,,,
26-27-prem-newcastle-united-vs-brighton-hove-albion,,,,,,False,False,,,
26-27-prem-tottenham-hotspur-vs-sunderland,,,,,,False,False,,,
