match_id,travel_distance_km,weather_description,temperature_c,wind_speed,pitch_condition,is_local_derby,is_neutral_ground,attendance,lineup_status,lineup_confidence
25-26-prem-arsenal-vs-afc-bournemouth,,,,,,False,False,,confirmed,
25-26-prem-brentford-vs-everton,,,,,,False,False,,confirmed,
25-26-prem-burnley-vs-brighton-hove-albion,,,,,,False,False,,confirmed,
25-26-prem-chelsea-vs-manchester-city,,,,,,False,False,,confirmed,
25-26-prem-crystal-palace-vs-newcastle-united,,,,,,False,False,,confirmed,
25-26-prem-liverpool-vs-fulham,,,,,,False,False,,confirmed,
25-26-prem-manchester-united-vs-leeds-united,,,,,,False,False,,confirmed,
25-26-prem-nottingham-forest-vs-aston-villa,,,,,,False,False,,confirmed,
25-26-prem-sunderland-vs-tottenham-hotspur,,,,,,False,False,,confirmed,
25-26-prem-west-ham-united-vs-wolverhampton-wanderers,,,,,,False,False,,confirmed,
